@relation skin_lesions-weka.filters.supervised.instance.SMOTE-C1-K5-P304.9-S1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute asymmetry numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute convexity numeric
@attribute elongation numeric
@attribute rectangularity numeric
@attribute solidity numeric
@attribute fractalDimension numeric
@attribute radialVariance numeric
@attribute lesionBMean numeric
@attribute lesionGMean numeric
@attribute lesionRMean numeric
@attribute lesionBMedian numeric
@attribute lesionGMedian numeric
@attribute lesionRMedian numeric
@attribute lesionBStd numeric
@attribute lesionGStd numeric
@attribute lesionRStd numeric
@attribute skinBMean numeric
@attribute skinGMean numeric
@attribute skinRMean numeric
@attribute skinBMedian numeric
@attribute skinGMedian numeric
@attribute skinRMedian numeric
@attribute skinBStd numeric
@attribute skinGStd numeric
@attribute skinRStd numeric
@attribute lesionLMean numeric
@attribute lesionAMean numeric
@attribute lesionBbMean numeric
@attribute lesionLMedian numeric
@attribute lesionAMedian numeric
@attribute lesionBbMedian numeric
@attribute lesionLStd numeric
@attribute lesionAStd numeric
@attribute lesionBbStd numeric
@attribute skinLMean numeric
@attribute skinAMean numeric
@attribute skinBbMean numeric
@attribute skinLMedian numeric
@attribute skinAMedian numeric
@attribute skinBbMedian numeric
@attribute skinLStd numeric
@attribute skinAStd numeric
@attribute skinBbStd numeric
@attribute bContrast numeric
@attribute bCorrelation numeric
@attribute bEnergy numeric
@attribute bEntropy numeric
@attribute bHomogeneity numeric
@attribute bMean numeric
@attribute bVariance numeric
@attribute gContrast numeric
@attribute gCorrelation numeric
@attribute gEnergy numeric
@attribute gEntropy numeric
@attribute gHomogeneity numeric
@attribute gMean numeric
@attribute gVariance numeric
@attribute rContrast numeric
@attribute rCorrelation numeric
@attribute rEnergy numeric
@attribute rEntropy numeric
@attribute rHomogeneity numeric
@attribute rMean numeric
@attribute rVariance numeric
@attribute lContrast numeric
@attribute lCorrelation numeric
@attribute lEnergy numeric
@attribute lEntropy numeric
@attribute lHomogeneity numeric
@attribute lMean numeric
@attribute lVariance numeric
@attribute aContrast numeric
@attribute aCorrelation numeric
@attribute aEnergy numeric
@attribute aEntropy numeric
@attribute aHomogeneity numeric
@attribute aMean numeric
@attribute aVariance numeric
@attribute bbContrast numeric
@attribute bbCorrelation numeric
@attribute bbEnergy numeric
@attribute bbEntropy numeric
@attribute bbHomogeneity numeric
@attribute bbMean numeric
@attribute bbVariance numeric
@attribute class {MALIGNANT,BENIGN}

@data
0.828442,0.966321,0.24165,0.292737,0.929907,0.355649,0.935583,0.319048,0.004136,0.438284,0.37177,0.190678,0.390104,0.514834,0.225385,0.552065,0.591316,0.464357,0.270161,0.25514,0.184965,0.068604,0.059909,0.04828,0.614096,0.514274,0.457973,0.345326,0.308451,0.348925,0.660571,0,0.017992,0.523975,0.447291,0.374663,0.248043,0.117177,0.16814,0.049487,0.059909,0.901063,0.551614,0.193024,0.28369,0.007676,0.997778,0.037518,0.725577,0.498737,0.339644,0.196216,0.005054,0.994737,0.038835,0.705778,0.514863,0.414935,0.112552,0.004457,0.992982,0.06087,0.632908,0.533816,0.516269,0.03864,0.007676,0.997778,0.037518,0.725577,0.498737,0.339644,0.196216,0.005054,0.994737,0.038835,0.705778,0.514863,0.414935,0.112552,0.004457,0.992982,0.06087,0.632908,0.533816,0.516269,0.03864,BENIGN
0.492099,0.553109,0.111657,0.218994,0.544393,0.233612,0.711656,0.42381,0.025723,0.300037,0.234983,0.132391,0.667958,0.867514,0.124836,0.452311,0.419734,0.318649,0.258309,0.233047,0.157259,0.10097,0.170898,0.030587,0.725817,0.585228,0.50519,0.226264,0.341051,0.38129,0.182996,0,0.805888,0.387124,0.55105,0.466384,0.211495,0.225434,0.260649,0.036512,0.170898,0.558771,0.568671,0.355014,0.414281,0.026221,0.991111,0.034632,0.76478,0.334596,0.436208,0.250095,0.021137,0.986842,0.035194,0.756148,0.337693,0.413917,0.146051,0.023016,0.985965,0.052174,0.711679,0.344203,0.519195,0.075286,0.026221,0.991111,0.034632,0.76478,0.334596,0.436208,0.250095,0.021137,0.986842,0.035194,0.756148,0.337693,0.413917,0.146051,0.023016,0.985965,0.052174,0.711679,0.344203,0.519195,0.075286,BENIGN
0.846501,0.917098,0.250819,0.304469,0.67757,0.384937,0.980061,0.342857,0.008303,0.156859,0.173004,0.354453,0.031995,0.057706,0.157636,0.364895,0.382315,0.529666,0.128555,0.131228,0.093902,0.003159,0.00026,0,0.395145,0.387167,0.35415,0.232161,0.320402,0.266947,0.064331,0.637309,0.027302,0.35108,0.353501,0.283763,0.118486,0.087221,0.116886,0.000015,0.00026,0.732935,0.39591,0.112769,0.179418,0.016829,0.986667,0.075036,0.652545,0.435606,0.170101,0.115832,0.014613,0.992105,0.057039,0.703111,0.41736,0.203389,0.149474,0.019686,0.996491,0.029814,0.793491,0.375604,0.246686,0.246341,0.016829,0.986667,0.075036,0.652545,0.435606,0.170101,0.115832,0.014613,0.992105,0.057039,0.703111,0.41736,0.203389,0.149474,0.019686,0.996491,0.029814,0.793491,0.375604,0.246686,0.246341,MALIGNANT
0.744921,0.774611,0.207924,0.289944,0.498832,0.354254,0.943252,0.4,0.015697,0.501801,0.296098,0.153206,0.907707,0.790896,0.069401,0.795393,0.662459,0.459056,0.251106,0.130109,0.095042,0.035615,0.018389,0.014798,0.665238,0.391556,0.35934,0.32131,0.156286,0.532584,0.576075,0.000015,0.000609,0.696453,0.309324,0.663598,0.129855,0.13849,0.388564,0.013468,0.018389,0.841917,0.409065,0.259029,0.579611,0.012141,0.988889,0.037518,0.71957,0.435606,0.429376,0.107141,0.006919,0.978947,0.049757,0.660444,0.476813,0.492704,0.037346,0.006409,0.970175,0.069565,0.591849,0.492754,0.578717,0.012671,0.012141,0.988889,0.037518,0.71957,0.435606,0.429376,0.107141,0.006919,0.978947,0.049757,0.660444,0.476813,0.492704,0.037346,0.006409,0.970175,0.069565,0.591849,0.492754,0.578717,0.012671,BENIGN
0.801354,0.974093,0.259987,0.317318,0.949766,0.353556,0.961656,0.319048,0.003854,0.292605,0.447366,0.337039,0.013461,0.519875,0.859389,0.48744,0.730697,0.763783,0.28302,0.177918,0.1245,0.098762,0.032528,0.013117,0.655101,0.436598,0.375786,0.486385,0.423235,0.425581,0.541569,0,0,0.776262,0.605642,0.587479,0.159994,0.188252,0.29505,0.015467,0.032528,0.258361,0.412576,0.311149,0.359973,0.027071,0.98,0.033189,0.749605,0.311869,0.229802,0.121107,0.019659,0.981579,0.024272,0.768296,0.326992,0.328828,0.094404,0.019167,0.973684,0.03354,0.718674,0.339372,0.49586,0.036796,0.027071,0.98,0.033189,0.749605,0.311869,0.229802,0.121107,0.019659,0.981579,0.024272,0.768296,0.326992,0.328828,0.094404,0.019167,0.973684,0.03354,0.718674,0.339372,0.49586,0.036796,BENIGN
0.769752,0.958549,0.256058,0.315642,0.90771,0.345188,0.949387,0.285714,0.005358,0.200179,0.240042,0.331993,0.067779,0.123994,0.28061,0.403963,0.449456,0.520545,0.006162,0.072889,0.051005,0,0,0,0.027195,0.23231,0.247741,0.319972,0.236261,0.408498,0.153627,0.002558,0.73033,0.460254,0.440985,0.556463,0.041384,0.235922,0.100987,0,0,0.002619,0.125976,0.398255,0.127169,0.017803,0.988889,0.059163,0.694594,0.401515,0.287242,0.14741,0.011922,0.992105,0.043689,0.721778,0.410226,0.277719,0.127733,0.012425,0.994737,0.029814,0.753041,0.394928,0.311361,0.106108,0.017803,0.988889,0.059163,0.694594,0.401515,0.287242,0.14741,0.011922,0.992105,0.043689,0.721778,0.410226,0.277719,0.127733,0.012425,0.994737,0.029814,0.753041,0.394928,0.311361,0.106108,BENIGN
0.756208,0.963731,0.262934,0.335196,0.918224,0.359833,0.960123,0.252381,0.004794,0.252471,0.412162,0.508875,0.021753,0.344888,0.872006,0.413756,0.615198,0.925549,0.130621,0.114662,0.083903,0.028865,0.004013,0.000094,0.487354,0.415398,0.360401,0.540755,0.260188,0.34756,0.487868,0,0,0.739305,0.36989,0.517755,0.103804,0.153806,0.13647,0.000262,0.004013,0.660214,0.397666,0.267954,0.21909,0.044407,0.971111,0.030303,0.780272,0.232323,0.226946,0.128477,0.036069,0.973684,0.018204,0.817185,0.233056,0.297308,0.127037,0.037701,0.975439,0.017391,0.805657,0.228261,0.436102,0.072779,0.044407,0.971111,0.030303,0.780272,0.232323,0.226946,0.128477,0.036069,0.973684,0.018204,0.817185,0.233056,0.297308,0.127037,0.037701,0.975439,0.017391,0.805657,0.228261,0.436102,0.072779,BENIGN
0.598194,0.836788,0.189915,0.286034,0.546729,0.274756,0.892638,0.385714,0.010872,0.422282,0.388529,0.240426,0.291635,0.937643,0.495909,0.676074,0.754998,0.63825,0.12737,0.130427,0.088557,0.033174,0.001703,0,0.452531,0.400549,0.367443,0.428144,0.262032,0.408443,0.565121,0,0,0.819416,0.436148,0.572151,0.107621,0.186099,0.103074,0.000218,0.001703,0.80144,0.35318,0.308784,0.120232,0.012946,0.988889,0.036075,0.718622,0.392677,0.346079,0.104661,0.009843,0.984211,0.035194,0.707556,0.401902,0.418318,0.059631,0.010098,0.975439,0.048447,0.653285,0.408213,0.544929,0.022472,0.012946,0.988889,0.036075,0.718622,0.392677,0.346079,0.104661,0.009843,0.984211,0.035194,0.707556,0.401902,0.418318,0.059631,0.010098,0.975439,0.048447,0.653285,0.408213,0.544929,0.022472,BENIGN
0.85553,0.944301,0.25573,0.322905,0.807243,0.340307,0.93865,0.314286,0.005828,0.204109,0.343697,0.438167,0.050768,0.209371,0.780246,0.407382,0.58357,0.747154,0.140778,0.138503,0.077532,0.023183,0.005788,0,0.445587,0.435261,0.312857,0.443345,0.220826,0.3683,0.313911,0,0.000757,0.646359,0.350093,0.537116,0.111405,0.126465,0.114258,0.000104,0.005788,0.795083,0.376352,0.156711,0.122905,0.032485,0.968889,0.04329,0.730319,0.276515,0.253769,0.090257,0.029245,0.973684,0.024272,0.791111,0.267539,0.305719,0.106979,0.035113,0.978947,0.017391,0.812348,0.237923,0.464008,0.080254,0.032485,0.968889,0.04329,0.730319,0.276515,0.253769,0.090257,0.029245,0.973684,0.024272,0.791111,0.267539,0.305719,0.106979,0.035113,0.978947,0.017391,0.812348,0.237923,0.464008,0.080254,BENIGN
0.851016,0.913212,0.222331,0.319553,0.872664,0.327755,0.888037,0.180952,0.008177,0.23024,0.289962,0.375568,0.001153,0.008142,0.813837,0.467937,0.534073,0.718685,0.179913,0.174905,0.136117,0.060501,0.100136,0,0.566383,0.504137,0.491425,0.410785,0.227064,0.351736,0.30139,0,0.00076,0.689799,0.413326,0.515998,0.151363,0.209196,0.160564,0.005758,0.100136,0.926516,0.470395,0.301247,0.219825,0.04021,0.948889,0.041847,0.723996,0.287879,0.206595,0.06722,0.029888,0.960526,0.029126,0.758519,0.299643,0.246883,0.06969,0.031579,0.973684,0.023602,0.775852,0.281401,0.471182,0.059263,0.04021,0.948889,0.041847,0.723996,0.287879,0.206595,0.06722,0.029888,0.960526,0.029126,0.758519,0.299643,0.246883,0.06969,0.031579,0.973684,0.023602,0.775852,0.281401,0.471182,0.059263,BENIGN
0.600451,0.804404,0.14833,0.221229,0.67757,0.31311,0.812883,0.357143,0.012971,0.417507,0.339353,0.19755,0.355778,0.624943,0.019238,0.662535,0.665959,0.569052,0.205478,0.201109,0.100722,0.059278,0.020362,0.001138,0.639341,0.590907,0.391483,0.356433,0.316054,0.322045,0.934452,0,0,0.702862,0.50113,0.362923,0.154204,0.270798,0.285232,0.001636,0.020362,0.863249,0.499928,0.342366,0.407504,0.033177,0.971111,0.024531,0.77964,0.257576,0.344914,0.099366,0.024636,0.955263,0.026699,0.759704,0.271106,0.437854,0.051326,0.023557,0.922807,0.042236,0.682786,0.28744,0.619173,0.015258,0.033177,0.971111,0.024531,0.77964,0.257576,0.344914,0.099366,0.024636,0.955263,0.026699,0.759704,0.271106,0.437854,0.051326,0.023557,0.922807,0.042236,0.682786,0.28744,0.619173,0.015258,BENIGN
0.663657,0.822539,0.180092,0.281564,0.609813,0.32636,0.84816,0.314286,0.012689,0.538645,0.405306,0.251366,0.012451,0.349259,0.608632,0.807274,0.718249,0.632128,0.159193,0.159513,0.125082,0.101195,0.070575,0.00466,0.503924,0.474423,0.450061,0.460837,0.283408,0.347151,0.784012,0,0,0.809639,0.423639,0.424449,0.129741,0.143318,0.131136,0.010089,0.070575,0.81207,0.397411,0.191102,0.154784,0.034009,0.975556,0.021645,0.79197,0.255051,0.27758,0.116506,0.022793,0.971053,0.024272,0.772148,0.280618,0.358503,0.071532,0.020291,0.961404,0.037267,0.706204,0.304348,0.507437,0.026714,0.034009,0.975556,0.021645,0.79197,0.255051,0.27758,0.116506,0.022793,0.971053,0.024272,0.772148,0.280618,0.358503,0.071532,0.020291,0.961404,0.037267,0.706204,0.304348,0.507437,0.026714,MALIGNANT
0.878104,0.949482,0.271447,0.355307,0.864486,0.37099,0.95092,0.3,0.006266,0.315888,0.355108,0.231547,0.028352,0.408561,0.873119,0.571194,0.688919,0.582362,0.110824,0.113317,0.070603,0.031483,0.013891,0.00001,0.390811,0.374002,0.326422,0.363856,0.189341,0.177492,0.524252,0,0,0.668058,0.286132,0.209099,0.082285,0.161525,0.122117,0,0.013891,0.92162,0.279552,0.208282,0.188187,0.007805,0.988889,0.049062,0.666456,0.47096,0.316834,0.073813,0.005677,0.989474,0.042476,0.677333,0.479191,0.363315,0.05407,0.005257,0.987719,0.054658,0.634124,0.491546,0.512248,0.026087,0.007805,0.988889,0.049062,0.666456,0.47096,0.316834,0.073813,0.005677,0.989474,0.042476,0.677333,0.479191,0.363315,0.05407,0.005257,0.987719,0.054658,0.634124,0.491546,0.512248,0.026087,BENIGN
0.575621,0.895078,0.170269,0.256425,0.843458,0.274756,0.796012,0.542857,0.007895,0.257618,0.183833,0.077226,0.640514,0.337647,0.000045,0.600178,0.507397,0.324931,0.140708,0.126452,0.075084,0.004949,0.000878,0.000313,0.518505,0.450211,0.313528,0.18897,0.141898,0.195011,0.006343,0,0.067192,0.533002,0.213568,0.321477,0.102459,0.232016,0.105342,0.000485,0.000878,0.84718,0.38837,0.432783,0.140522,0.008311,0.971111,0.064935,0.613658,0.484848,0.579396,0.030288,0.006543,0.955263,0.066748,0.602074,0.48038,0.566188,0.015964,0.005605,0.877193,0.108075,0.492701,0.498792,0.673117,0.00277,0.008311,0.971111,0.064935,0.613658,0.484848,0.579396,0.030288,0.006543,0.955263,0.066748,0.602074,0.48038,0.566188,0.015964,0.005605,0.877193,0.108075,0.492701,0.498792,0.673117,0.00277,BENIGN
0.887133,0.965026,0.21611,0.30838,0.949766,0.361227,0.903374,0.380952,0.00448,0.29647,0.269471,0.111612,0.215173,0.078673,0.003603,0.555963,0.583765,0.372833,0.15969,0.165675,0.09325,0.066201,0.209935,0,0.524332,0.496071,0.385175,0.234555,0.304148,0.346551,0.805361,0,0,0.544932,0.461995,0.440065,0.126358,0.256774,0.164326,0,0.209935,0.585028,0.424315,0.346852,0.188908,0.013913,0.98,0.04329,0.700285,0.383838,0.389485,0.065727,0.009837,0.976316,0.042476,0.691852,0.398335,0.367096,0.041755,0.008656,0.970175,0.073292,0.595499,0.42029,0.723075,0.01678,0.013913,0.98,0.04329,0.700285,0.383838,0.389485,0.065727,0.009837,0.976316,0.042476,0.691852,0.398335,0.367096,0.041755,0.008656,0.970175,0.073292,0.595499,0.42029,0.723075,0.01678,BENIGN
0.819413,0.803109,0.182056,0.28324,0.521028,0.329149,0.863497,0.333333,0.013535,0.377649,0.317329,0.110184,0.684244,0.865073,0.000769,0.616962,0.672252,0.348141,0.086806,0.102701,0.068505,0.000078,0.000448,0.000056,0.371575,0.401545,0.303197,0.305766,0.184538,0.324228,0.395536,0,0.775921,0.646726,0.261701,0.420761,0.083266,0.133385,0.094648,0.000099,0.000448,0.307305,0.350093,0.183412,0.127784,0.003389,0.995556,0.054834,0.645906,0.592172,0.478394,0.103333,0.00271,0.992105,0.055825,0.626963,0.581451,0.46238,0.04523,0.002541,0.977193,0.090683,0.530718,0.585749,0.595064,0.009124,0.003389,0.995556,0.054834,0.645906,0.592172,0.478394,0.103333,0.00271,0.992105,0.055825,0.626963,0.581451,0.46238,0.04523,0.002541,0.977193,0.090683,0.530718,0.585749,0.595064,0.009124,MALIGNANT
